experiment,case,protocol,active_profile,R_neck_Mohm,R_in_d_Mohm,SMI,path_length_um,branch_order,membrane_area_um2,dendritic_capacitance_pF,A_h_mV,V_h_peak_mV,V_h_min_mV,A_d_mV,Gamma_h_to_d,V_d_peak_mV,V_d_min_mV,A_s_mV,Gamma_h_to_s,V_s_peak_mV,V_s_min_mV,local_voltage_isolation,max_voltage_mV,min_voltage_mV,min_gate,max_gate,Zin_50Hz_Mohm,transfer_gain_50Hz,electrotonic_distance_50Hz,active_frozen_Zin_50Hz_Mohm,active_frozen_transfer_gain_50Hz,active_profile_channel_count,leak_scale,soma_coupling_scale
iso_neck_resistance,cable_L80.0_r0.45,AMPA_NMDA,none,100.0,258.1320934476529,0.3873985549971112,73.33333333333334,0,1482.8317324943823,222.26194671058462,16.49749208290014,-53.50250791709981,-69.99999999999996,8.906034296819826,0.5398417075799686,-61.09396570318014,-69.99999999999997,1.2040187092817316,0.0729819237512902,-68.79598129071827,-70.0,0.46015829242003137,-53.50250791709981,-70.0,0.0,0.0,116.70962764025039,0.12200751106216444,2.103672670060679,116.70962764025039,0.12200751106216444,0,,
iso_neck_resistance,cable_L160.0_r0.45,AMPA_NMDA,none,100.0,381.71288261670367,0.2619770108739422,152.0,0,1709.0264035528476,224.52389342116928,21.583766695311578,-48.41623330468845,-70.00000000000001,15.106676613847215,0.6999091876363122,-54.893323386152794,-70.0,1.127806470522366,0.05225253249088113,-68.87219352947764,-70.0,0.30009081236368784,-48.41623330468845,-70.00000000000001,0.0,0.0,235.16318121556728,0.059355353520657426,2.8242129594560073,235.16318121556728,0.059355353520657426,0,,
iso_neck_resistance,cable_L180.0_r0.35,AMPA_NMDA,none,100.0,587.0336719941965,0.17034797963171797,171.0,0,1652.4777357882313,223.9584067435231,28.114326827820854,-41.885673172179125,-69.99999999999999,22.77049795939824,0.8099250641443577,-47.22950204060174,-69.99999999999999,1.0441399316991062,0.037139069275735445,-68.9558600683009,-70.0,0.19007493585564228,-41.885673172179125,-70.0,0.0,0.0,429.4825071086477,0.03203963737784531,3.4407814746411156,429.4825071086477,0.03203963737784531,0,,
iso_neck_resistance,branch_asymmetric,AMPA_NMDA,none,100.0,517.2514203618114,0.19332958028428643,218.0,1,2111.150263212341,228.54513201776422,24.83748038025829,-45.16251961974177,-70.00000000000006,19.165391887743667,0.7716318883527734,-50.83460811225638,-70.00000000000004,1.0576473952267489,0.042582716887313764,-68.94235260477326,-70.0,0.2283681116472266,-45.16251961974177,-70.00000000000006,0.0,0.0,353.12530832852184,0.03726184340845851,3.289785440838769,353.12530832852184,0.03726184340845851,0,,
iso_neck_resistance,cable_L80.0_r0.45,AMPA_NMDA,hcn,100.0,258.1320934476529,0.3873985549971112,73.33333333333334,0,1482.8317324943823,222.26194671058462,16.423667707481417,-53.38446231509799,-69.80807801935441,8.862991907022105,0.5396475418815723,-60.98134429412005,-69.84428404041327,1.218253934903324,0.07417672815849634,-68.70926834886795,-69.92747001549075,0.46035245811842773,-53.38446231509799,-70.0,0.16524501672527758,0.18242552380635635,116.70962764025039,0.12200751106216444,2.103672670060679,116.58877123358036,0.12200405773637288,1,,
iso_neck_resistance,cable_L160.0_r0.45,AMPA_NMDA,hcn,100.0,381.71288261670367,0.2619770108739422,152.0,0,1709.0264035528476,224.52389342116928,21.44181824624846,-48.28001564351026,-69.72178171730785,14.998389477168958,0.6994924266645685,-54.75952027329371,-69.75785737168563,1.1407636936524996,0.05320274990448125,-68.78817474689376,-69.92888606180699,0.30050757333543154,-48.28001564351026,-70.0,0.16021194868179442,0.18242552380635635,235.16318121556728,0.059355353520657426,2.8242129594560073,234.66991992974727,0.05935413216401052,1,,
iso_neck_resistance,cable_L180.0_r0.35,AMPA_NMDA,hcn,100.0,587.0336719941965,0.17034797963171797,171.0,0,1652.4777357882313,223.9584067435231,27.835821222413543,-41.741534047953444,-69.57730388078146,22.52769753899807,0.8093060146850869,-47.08551712058741,-69.6131629836085,1.0548347231036788,0.037894866283101444,-68.8748381712806,-69.92962030895245,0.1906939853149131,-41.741534047953444,-70.0,0.15268078239408814,0.18242552380635635,429.4825071086477,0.03203963737784531,3.4407814746411156,427.8518601967756,0.032039086467193716,1,,
iso_neck_resistance,branch_asymmetric,AMPA_NMDA,hcn,100.0,517.2514203618114,0.19332958028428643,218.0,1,2111.150263212341,228.54513201776422,24.625084228799206,-45.004415219665844,-69.62944673556912,18.987263589682126,0.771053752071085,-50.67817466017541,-69.66538527812034,1.0705730290909155,0.04347489816253594,-68.86074690311473,-69.93126729843301,0.22894624792891505,-45.004415219665844,-70.0,0.15501992992887817,0.18242552380635635,353.12530832852184,0.03726184340845851,3.289785440838769,352.0322694685799,0.037261181573045705,1,,
iso_neck_resistance,cable_L80.0_r0.45,AMPA_NMDA,full_restrained,100.0,258.1320934476529,0.3873985549971112,73.33333333333334,0,1482.8317324943823,222.26194671058462,16.628138289339788,-53.24430307850425,-69.8724072773607,8.9852420505621,0.5403636831864991,-60.91119027352637,-69.89639800283395,1.205789132621482,0.07251498103034824,-68.74584249451736,-69.95159694958213,0.4596363168135009,-53.24430307850425,-70.0,0.028905534475191907,0.7540796658225246,116.70962764025039,0.12200751106216444,2.103672670060679,116.49555585405247,0.12200138821856273,5,,
iso_neck_resistance,cable_L160.0_r0.45,AMPA_NMDA,full_restrained,100.0,381.71288261670367,0.2619770108739422,152.0,0,1709.0264035528476,224.52389342116928,22.70268002102175,-47.11354929499812,-69.81619567254977,16.051847561927854,0.7070463728099282,-53.78812945623355,-69.83994309938998,1.152122580785342,0.050748307235908875,-68.8006086868775,-69.95269668802891,0.2929536271900718,-47.11354929499812,-70.0,0.028905534475191907,0.7540796658225246,235.16318121556728,0.059355353520657426,2.8242129594560073,234.29017366359687,0.059353187807028786,5,,
