group,target,predictor,pearson,spearman,abs_spearman,n
AMPA_NMDA/full_restrained,A_h_mV,R_neck_Mohm,0.8232195076332571,0.7123404974653157,0.7123404974653157,13
AMPA_NMDA/full_restrained,A_h_mV,R_in_d_Mohm,0.718879061076604,0.716691552222056,0.716691552222056,13
AMPA_NMDA/full_restrained,A_h_mV,SMI,0.5582966927236374,0.17878838803287334,0.17878838803287334,13
AMPA_NMDA/full_restrained,A_h_mV,Zin_50Hz_Mohm,0.8041502046327609,0.7111358037552185,0.7111358037552185,13
AMPA_NMDA/full_restrained,A_h_mV,transfer_gain_50Hz,-0.6177255079700757,-0.7111358037552185,0.7111358037552185,13
AMPA_NMDA/full_restrained,A_h_mV,electrotonic_distance_50Hz,0.7292692871187034,0.7111358037552185,0.7111358037552185,13
AMPA_NMDA/full_restrained,A_h_mV,active_frozen_Zin_50Hz_Mohm,0.8037815246059804,0.7111358037552185,0.7111358037552185,13
AMPA_NMDA/full_restrained,A_h_mV,active_frozen_transfer_gain_50Hz,-0.6177277099818588,-0.7111358037552185,0.7111358037552185,13
AMPA_NMDA/full_restrained,A_h_mV,path_length_um,0.555787021590949,0.6792117759502123,0.6792117759502123,13
AMPA_NMDA/full_restrained,A_h_mV,branch_order,0.33490984426382897,0.399411036475085,0.399411036475085,13
AMPA_NMDA/full_restrained,A_h_mV,membrane_area_um2,0.35119142008665516,0.11420374993853127,0.11420374993853127,13
AMPA_NMDA/full_restrained,A_h_mV,dendritic_capacitance_pF,0.35119142008665516,0.11420374993853127,0.11420374993853127,13
AMPA_NMDA/full_restrained,A_h_mV,active_profile_channel_count,nan,nan,nan,13
AMPA_NMDA/full_restrained,local_voltage_isolation,R_neck_Mohm,0.6777937440957849,0.7526616576992015,0.7526616576992015,13
AMPA_NMDA/full_restrained,local_voltage_isolation,R_in_d_Mohm,-0.36207132368461276,-0.4666828712143621,0.4666828712143621,13
AMPA_NMDA/full_restrained,local_voltage_isolation,SMI,0.9188689906663193,0.9637811542397078,0.9637811542397078,13
AMPA_NMDA/full_restrained,local_voltage_isolation,Zin_50Hz_Mohm,-0.36996678577757625,-0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,local_voltage_isolation,transfer_gain_50Hz,0.4876131132202896,0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,local_voltage_isolation,electrotonic_distance_50Hz,-0.4340832651188187,-0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,local_voltage_isolation,active_frozen_Zin_50Hz_Mohm,-0.3704809757603001,-0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,local_voltage_isolation,active_frozen_transfer_gain_50Hz,0.48761257499403543,0.3833466442117974,0.3833466442117974,13
AMPA_NMDA/full_restrained,local_voltage_isolation,path_length_um,-0.39164351204669956,-0.3366005261346185,0.3366005261346185,13
AMPA_NMDA/full_restrained,local_voltage_isolation,branch_order,0.0042094518074869336,-0.057058719496440716,0.057058719496440716,13
AMPA_NMDA/full_restrained,local_voltage_isolation,membrane_area_um2,-0.2110405785239243,-0.2584611182819392,0.2584611182819392,13
AMPA_NMDA/full_restrained,local_voltage_isolation,dendritic_capacitance_pF,-0.21104057852392408,-0.2584611182819392,0.2584611182819392,13
AMPA_NMDA/full_restrained,local_voltage_isolation,active_profile_channel_count,nan,nan,nan,13
AMPA_NMDA/hcn,Gamma_h_to_d,R_neck_Mohm,-0.746596274387158,-0.7526616576992015,0.7526616576992015,13
AMPA_NMDA/hcn,Gamma_h_to_d,R_in_d_Mohm,0.26287633816766326,0.4666828712143621,0.4666828712143621,13
AMPA_NMDA/hcn,Gamma_h_to_d,SMI,-0.9559060011708781,-0.9637811542397078,0.9637811542397078,13
