condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
low,3.0900000000000003,-70.0,-70.0,-70.0,0.0
low,3.1000000000000005,-70.0,-70.0,-70.0,0.0
low,3.1100000000000003,-70.0,-70.0,-70.0,0.0
low,3.1200000000000006,-70.0,-70.0,-70.0,0.0
low,3.1300000000000003,-70.0,-70.0,-70.0,0.0
low,3.1400000000000006,-70.0,-70.0,-70.0,0.0
low,3.1500000000000004,-70.0,-70.0,-70.0,0.0
low,3.16,-70.0,-70.0,-70.0,0.0
low,3.17,-70.0,-70.0,-70.0,0.0
low,3.18,-70.0,-70.0,-70.0,0.0
low,3.19,-70.0,-70.0,-70.0,0.0
low,3.2,-70.0,-70.0,-70.0,0.0
low,3.21,-70.0,-70.0,-70.0,0.0
low,3.22,-70.0,-70.0,-70.0,0.0
low,3.2300000000000004,-70.0,-70.0,-70.0,0.0
low,3.24,-70.0,-70.0,-70.0,0.0
low,3.2500000000000004,-70.0,-70.0,-70.0,0.0
low,3.2600000000000002,-70.0,-70.0,-70.0,0.0
low,3.2700000000000005,-70.0,-70.0,-70.0,0.0
low,3.2800000000000002,-70.0,-70.0,-70.0,0.0
low,3.2900000000000005,-70.0,-70.0,-70.0,0.0
low,3.3000000000000003,-70.0,-70.0,-70.0,0.0
low,3.3100000000000005,-70.0,-70.0,-70.0,0.0
low,3.3200000000000003,-70.0,-70.0,-70.0,0.0
low,3.33,-70.0,-70.0,-70.0,0.0
low,3.3400000000000003,-70.0,-70.0,-70.0,0.0
low,3.35,-70.0,-70.0,-70.0,0.0
low,3.3600000000000003,-70.0,-70.0,-70.0,0.0
low,3.37,-70.0,-70.0,-70.0,0.0
low,3.3800000000000003,-70.0,-70.0,-70.0,0.0
low,3.39,-70.0,-70.0,-70.0,0.0
low,3.4000000000000004,-70.0,-70.0,-70.0,0.0
low,3.41,-70.0,-70.0,-70.0,0.0
low,3.4200000000000004,-70.0,-70.0,-70.0,0.0
low,3.43,-70.0,-70.0,-70.0,0.0
low,3.4400000000000004,-70.0,-70.0,-70.0,0.0
low,3.45,-70.0,-70.0,-70.0,0.0
low,3.4600000000000004,-70.0,-70.0,-70.0,0.0
low,3.4700000000000006,-70.0,-70.0,-70.0,0.0
low,3.4800000000000004,-70.0,-70.0,-70.0,0.0
low,3.4900000000000007,-70.0,-70.0,-70.0,0.0
low,3.5,-70.0,-70.0,-70.0,0.0
low,3.5100000000000002,-70.0,-70.0,-70.0,0.0
low,3.52,-70.0,-70.0,-70.0,0.0
low,3.5300000000000002,-70.0,-70.0,-70.0,0.0
low,3.54,-70.0,-70.0,-70.0,0.0
low,3.5500000000000003,-70.0,-70.0,-70.0,0.0
low,3.56,-70.0,-70.0,-70.0,0.0
low,3.5700000000000003,-70.0,-70.0,-70.0,0.0
low,3.58,-70.0,-70.0,-70.0,0.0
low,3.5900000000000003,-70.0,-70.0,-70.0,0.0
low,3.6000000000000005,-70.0,-70.0,-70.0,0.0
low,3.6100000000000003,-70.0,-70.0,-70.0,0.0
low,3.6200000000000006,-70.0,-70.0,-70.0,0.0
low,3.6300000000000003,-70.0,-70.0,-70.0,0.0
low,3.6400000000000006,-70.0,-70.0,-70.0,0.0
low,3.6500000000000004,-70.0,-70.0,-70.0,0.0
low,3.6600000000000006,-70.0,-70.0,-70.0,0.0
low,3.67,-70.0,-70.0,-70.0,0.0
low,3.68,-70.0,-70.0,-70.0,0.0
low,3.69,-70.0,-70.0,-70.0,0.0
low,3.7,-70.0,-70.0,-70.0,0.0
low,3.7100000000000004,-70.0,-70.0,-70.0,0.0
low,3.72,-70.0,-70.0,-70.0,0.0
low,3.7300000000000004,-70.0,-70.0,-70.0,0.0
low,3.74,-70.0,-70.0,-70.0,0.0
low,3.7500000000000004,-70.0,-70.0,-70.0,0.0
low,3.7600000000000002,-70.0,-70.0,-70.0,0.0
low,3.7700000000000005,-70.0,-70.0,-70.0,0.0
low,3.7800000000000002,-70.0,-70.0,-70.0,0.0
low,3.7900000000000005,-70.0,-70.0,-70.0,0.0
low,3.8000000000000003,-70.0,-70.0,-70.0,0.0
low,3.8100000000000005,-70.0,-70.0,-70.0,0.0
low,3.8200000000000003,-70.0,-70.0,-70.0,0.0
low,3.8300000000000005,-70.0,-70.0,-70.0,0.0
low,3.8400000000000007,-70.0,-70.0,-70.0,0.0
