condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
intermediate,49.24000000000001,-69.39791161606732,-69.39805189857579,-69.47395614405916,0.00011750952941349198
intermediate,49.25,-69.39811255947089,-69.39825238952912,-69.47408211989536,0.0001171184830880694
intermediate,49.260000000000005,-69.39831338749738,-69.39845276660324,-69.47420809623038,0.00011672873808033026
intermediate,49.27,-69.39851410028216,-69.3986530299285,-69.47433407300183,0.00011634029005977093
intermediate,49.28,-69.3987146979604,-69.3988531796351,-69.47446005014741,0.00011595313471029766
intermediate,49.290000000000006,-69.398915180667,-69.39905321585302,-69.47458602760496,0.00011556726773018099
intermediate,49.300000000000004,-69.39911554853667,-69.39925313871207,-69.47471200531238,0.00011518268483200604
intermediate,49.31000000000001,-69.39931580170396,-69.39945294834182,-69.4748379832078,0.0001147993817426251
intermediate,49.32,-69.39951594030312,-69.39965264487172,-69.47496396122939,0.0001144173542031115
intermediate,49.330000000000005,-69.39971596446827,-69.39985222843097,-69.47508993931548,0.0001140365979687102
intermediate,49.34,-69.39991587433327,-69.40005169914858,-69.47521591740453,0.0001136571088087933
intermediate,49.35000000000001,-69.40011567003182,-69.40025105715338,-69.47534189543508,0.00011327888250681003
intermediate,49.36,-69.40031535169734,-69.40045030257403,-69.47546787334585,0.00011290191486024248
intermediate,49.370000000000005,-69.40051491946312,-69.40064943553894,-69.47559385107567,0.00011252620168055693
intermediate,49.38000000000001,-69.40071437346216,-69.40084845617638,-69.47571982856346,0.00011215173879315884
intermediate,49.39,-69.40091371382738,-69.40104736461441,-69.47584580574828,0.00011177852203734582
intermediate,49.400000000000006,-69.40111294069135,-69.40124616098092,-69.47597178256933,0.00011140654726626057
intermediate,49.410000000000004,-69.4013120541865,-69.40144484540356,-69.47609775896589,0.00011103581034684706
intermediate,49.42000000000001,-69.40151105444507,-69.40164341800984,-69.4762237348774,0.00011066630715980176
intermediate,49.43,-69.40170994159907,-69.40184187892703,-69.47634971024341,0.00011029803359953032
intermediate,49.440000000000005,-69.40190871578025,-69.40204022828225,-69.4764756850036,0.00010993098557410011
intermediate,49.45,-69.40210737712027,-69.40223846620242,-69.47660165909777,0.00010956515900519634
intermediate,49.46,-69.40230592575051,-69.40243659281425,-69.4767276324658,0.00010920054982807518
intermediate,49.470000000000006,-69.40250436180216,-69.40263460824433,-69.47685360504775,0.00010883715399151984
intermediate,49.480000000000004,-69.4027026854062,-69.40283251261893,-69.47697957678378,0.00010847496745779562
intermediate,49.49000000000001,-69.40290089669341,-69.40303030606427,-69.47710554761414,0.0001081139862026034
intermediate,49.5,-69.40309899579438,-69.40322798870629,-69.47723151747925,0.00010775420621503703
intermediate,49.510000000000005,-69.40329698283945,-69.4034255606708,-69.47735748631962,0.00010739562349753699
intermediate,49.52,-69.40349485795882,-69.40362302208335,-69.47748345407585,0.00010703823406584757
intermediate,49.53,-69.40369262128246,-69.40382037306938,-69.47760942068874,0.000106682033948971
intermediate,49.54,-69.40389027294013,-69.40401761375412,-69.47773538609916,0.00010632701918912495
intermediate,49.550000000000004,-69.40408781306135,-69.40421474426256,-69.47786135024806,0.00010597318584169675
intermediate,49.56000000000001,-69.40428524177555,-69.40441176471958,-69.47798731307661,0.00010562052997520167
intermediate,49.57,-69.40448255921183,-69.40460867524982,-69.47811327452602,0.0001052690476712376
intermediate,49.580000000000005,-69.40467976549918,-69.40480547597777,-69.47823923453764,0.00010491873502444158
intermediate,49.59,-69.40487686076636,-69.4050021670277,-69.47836519305292,0.00010456958814244765
intermediate,49.60000000000001,-69.4050738451419,-69.4051987485237,-69.47849115001347,0.00010422160314584187
intermediate,49.61,-69.40527071875414,-69.4053952205897,-69.47861710536097,0.00010387477616812161
intermediate,49.620000000000005,-69.40546748173125,-69.4055915833494,-69.47874305903726,0.0001035291033556491
intermediate,49.63000000000001,-69.4056641342012,-69.40578783692638,-69.47886901098428,0.00010318458086761252
intermediate,49.64,-69.40586067629172,-69.40598398144395,-69.47899496114407,0.00010284120487598068
intermediate,49.650000000000006,-69.40605710813038,-69.40618001702535,-69.47912090945881,0.00010249897156546086
intermediate,49.660000000000004,-69.40625342984457,-69.40637594379353,-69.47924685587081,0.00010215787713345757
intermediate,49.67000000000001,-69.40644964156135,-69.40657176187129,-69.47937280032247,0.00010181791779002865
intermediate,49.68,-69.40664574340778,-69.40676747138124,-69.47949874275629,0.00010147908975784525
intermediate,49.690000000000005,-69.40684173551057,-69.40696307244588,-69.47962468311493,0.00010114138927214746
intermediate,49.7,-69.4070376179963,-69.40715856518737,-69.47975062134114,0.00010080481258070453
intermediate,49.71,-69.40723339099132,-69.40735394972788,-69.47987655737779,0.00010046935594377161
intermediate,49.720000000000006,-69.40742905462183,-69.40754922618922,-69.48000249116788,0.00010013501563404949
intermediate,49.730000000000004,-69.40762460901375,-69.40774439469313,-69.48012842265452,9.980178793664258e-05
intermediate,49.74000000000001,-69.40782005429291,-69.40793945536112,-69.48025435178089,9.946966914901692e-05
intermediate,49.75,-69.40801539058485,-69.40813440831452,-69.48038027849034,9.913865558096107e-05
intermediate,49.760000000000005,-69.40821061801499,-69.40832925367452,-69.48050620272635,9.880874355454256e-05
intermediate,49.77,-69.40840573670846,-69.40852399156208,-69.48063212443245,9.847992940406916e-05
intermediate,49.78000000000001,-69.40860074679031,-69.40871862209801,-69.48075804355234,9.815220947604657e-05
intermediate,49.79,-69.40879564838534,-69.40891314540292,-69.48088396002981,9.782558012913923e-05
intermediate,49.800000000000004,-69.40899044161812,-69.40910756159722,-69.48100987380874,9.75000377341285e-05
intermediate,49.81000000000001,-69.40918512661308,-69.4093018708012,-69.48113578483319,9.717557867387325e-05
intermediate,49.82,-69.40937970349441,-69.40949607313493,-69.48126169304726,9.685219934327005e-05
intermediate,49.830000000000005,-69.40957417238616,-69.40969016871829,-69.48138759839523,9.652989614921138e-05
intermediate,49.84,-69.40976853341218,-69.409884157671,-69.48151350082142,9.62086655105476e-05
intermediate,49.85000000000001,-69.40996278669601,-69.41007804011261,-69.48163940027034,9.588850385804584e-05
intermediate,49.86,-69.41015693236123,-69.41027181616246,-69.48176529668655,9.556940763435136e-05
intermediate,49.870000000000005,-69.410350970531,-69.41046548593975,-69.48189119001478,9.5251373293947e-05
intermediate,49.88,-69.41054490132838,-69.41065904956345,-69.4820170801998,9.493439730311492e-05
intermediate,49.89,-69.41073872487628,-69.4108525071524,-69.48214296718658,9.461847613989588e-05
intermediate,49.900000000000006,-69.41093244129733,-69.41104585882522,-69.48226885092015,9.430360629405203e-05
intermediate,49.910000000000004,-69.41112605071405,-69.4112391047004,-69.48239473134565,9.398978426702625e-05
intermediate,49.92000000000001,-69.41131955324872,-69.41143224489622,-69.48252060840834,9.367700657190358e-05
intermediate,49.93,-69.41151294902339,-69.4116252795308,-69.48264648205357,9.33652697333734e-05
intermediate,49.940000000000005,-69.41170623816008,-69.41181820872204,-69.48277235222686,9.305457028768935e-05
intermediate,49.95,-69.41189942078044,-69.41201103258773,-69.48289821887379,9.274490478263287e-05
intermediate,49.96000000000001,-69.41209249700599,-69.41220375124544,-69.48302408194006,9.243626977747242e-05
intermediate,49.970000000000006,-69.41228546695814,-69.41239636481258,-69.4831499413715,9.212866184292715e-05
intermediate,49.980000000000004,-69.41247833075798,-69.41258887340638,-69.483275797114,9.182207756112811e-05
intermediate,49.99000000000001,-69.4126710885265,-69.41278127714385,-69.48340164911366,9.151651352557984e-05
intermediate,50.0,-69.41286374038448,-69.41297357614192,-69.4835274973166,9.121196634112354e-05
