condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,29.240000000000002,-67.42940896991128,-68.61986209490155,-69.55087639106036,0.09233569726788052
high,29.25,-67.43398867613205,-68.62056168821226,-69.55051216420303,0.09202842401692062
high,29.26,-67.43855642753742,-68.62126175966598,-69.55014863316146,0.09172217330495197
high,29.27,-67.44311225734583,-68.62196230397875,-69.54978579759296,0.09141694172918585
high,29.280000000000005,-67.44765619868753,-68.6226633158893,-69.54942365715226,0.09111272589815707
high,29.290000000000003,-67.45218828460494,-68.6233647901591,-69.5490622114915,0.09080952243168676
high,29.300000000000004,-67.45670854805276,-68.62406672157216,-69.5487014602603,0.09050732796084428
high,29.310000000000002,-67.46121702189818,-68.62476910493511,-69.54834140310575,0.09020613912791027
high,29.320000000000004,-67.46571373892102,-68.625471935077,-69.54798203967245,0.08990595258633893
high,29.330000000000002,-67.47019873181395,-68.62617520684918,-69.54762336960243,0.08960676500072126
high,29.34,-67.47467203318274,-68.62687891512543,-69.54726539253531,0.0893085730467476
high,29.35,-67.47913367554632,-68.62758305480166,-69.5469081081082,0.08901137341117102
high,29.36,-67.48358369133705,-68.62828762079592,-69.54655151595576,0.0887151627917702
high,29.370000000000005,-67.48802211290088,-68.62899260804836,-69.5461956157102,0.08841993789731299
high,29.380000000000003,-67.4924489724976,-68.62969801152113,-69.54584040700136,0.08812569544751991
high,29.390000000000004,-67.49686430230085,-68.63040382619828,-69.54548588945657,0.08783243217302723
high,29.400000000000002,-67.5012681343986,-68.63111004708567,-69.54513206270083,0.08754014481535122
high,29.410000000000004,-67.50566050079304,-68.63181666921096,-69.54477892635673,0.08724883012685145
high,29.42,-67.51004143340093,-68.63252368762352,-69.54442648004448,0.08695848487069507
high,29.43,-67.51441096405378,-68.63323109739427,-69.54407472338195,0.0866691058208208
high,29.44,-67.51876912449792,-68.63393889361573,-69.54372365598466,0.08638068976190279
high,29.450000000000003,-67.5231159463949,-68.63464707140184,-69.54337327746579,0.08609323348931511
high,29.460000000000004,-67.52745146132142,-68.63535562588795,-69.54302358743621,0.08580673380909647
high,29.470000000000002,-67.53177570076976,-68.63606455223075,-69.54267458550447,0.08552118753791395
high,29.480000000000004,-67.53608869614773,-68.63677384560809,-69.54232627127689,0.08523659150302837
high,29.490000000000002,-67.54039047877909,-68.6374835012191,-69.54197864435741,0.08495294254225856
high,29.500000000000004,-67.54468107990357,-68.6381935142839,-69.54163170434781,0.08467023750394652
high,29.51,-67.54896053067708,-68.63890388004369,-69.54128545084755,0.08438847324692222
high,29.52,-67.55322886217198,-68.63961459376061,-69.54093988345387,0.08410764664046888
high,29.53,-67.55748610537717,-68.64032565071766,-69.54059500176184,0.08382775456428787
high,29.540000000000003,-67.56173229119834,-68.64103704621866,-69.54025080536422,0.08354879390846436
high,29.550000000000004,-67.56596745045812,-68.64174877558813,-69.53990729385167,0.08327076157343273
high,29.560000000000002,-67.57019161389626,-68.64246083417127,-69.5395644668126,0.08299365446994196
high,29.570000000000004,-67.57440481216985,-68.6431732173339,-69.53922232383329,0.08271746951902129
high,29.580000000000002,-67.57860707585347,-68.64388592046225,-69.53888086449783,0.08244220365194631
high,29.590000000000003,-67.58279843543939,-68.64459893896307,-69.53854008838819,0.08216785381020443
high,29.6,-67.58697892133777,-68.6453122682635,-69.53819999508421,0.08189441694546137
high,29.61,-67.5911485638768,-68.6460259038109,-69.5378605841636,0.08162189001952681
high,29.620000000000005,-67.59530739330293,-68.6467398410729,-69.53752185520196,0.08135027000432103
high,29.630000000000003,-67.59945543978101,-68.64745407553731,-69.5371838077728,0.08107955388184118
high,29.640000000000004,-67.60359273339456,-68.64816860271199,-69.53684644144757,0.08080973864412747
high,29.650000000000002,-67.60771930414582,-68.64888341812481,-69.53650975579565,0.08054082129323004
high,29.660000000000004,-67.61183518195608,-68.64959851732364,-69.53617375038431,0.08027279884117557
high,29.67,-67.61594039666575,-68.65031389587615,-69.53583842477883,0.08000566830993407
high,29.680000000000003,-67.62003497803458,-68.65102954936988,-69.53550377854245,0.0797394267313857
high,29.69,-67.62411895574184,-68.65174547341208,-69.53516981123641,0.07947407114728809
high,29.7,-67.62819235938652,-68.65246166362962,-69.53483652241992,0.07920959860924302
high,29.710000000000004,-67.63225521848753,-68.65317811566905,-69.53450391165022,0.078946006178664
high,29.720000000000002,-67.63630756248386,-68.65389482519642,-69.53417197848255,0.07868329092674366
high,29.730000000000004,-67.64034942073467,-68.6546117878972,-69.53384072247017,0.07842144993442089
high,29.740000000000002,-67.64438082251968,-68.65532899947628,-69.53351014316443,0.07816048029234861
high,29.750000000000004,-67.64840179703916,-68.6560464556579,-69.53318024011467,0.07790037910086148
high,29.76,-67.6524123734142,-68.65676415218552,-69.53285101286839,0.07764114346994352
high,29.77,-67.65641258068689,-68.65748208482178,-69.5325224609711,0.07738277051919627
high,29.78,-67.66040244782047,-68.65820024934847,-69.53219458396642,0.07712525737780639
high,29.790000000000003,-67.66438200369956,-68.65891864156642,-69.53186738139605,0.07686860118451412
high,29.800000000000004,-67.66835127713028,-68.6596372572954,-69.53154085279988,0.07661279908758147
high,29.810000000000002,-67.6723102968405,-68.66035609237419,-69.53121499771586,0.07635784824476016
high,29.820000000000004,-67.67625909147993,-68.66107514266032,-69.53088981568013,0.0761037458232605
high,29.830000000000002,-67.68019768962041,-68.66179440403019,-69.53056530622695,0.07585048899971956
high,29.840000000000003,-67.68412611975602,-68.66251387237884,-69.53024146888876,0.07559807496017013
high,29.85,-67.68804441030323,-68.66323354362001,-69.52991830319614,0.07534650090000905
high,29.86,-67.69195258960121,-68.66395341368602,-69.52959580867793,0.07509576402396653
high,29.87,-67.69585068591186,-68.66467347852767,-69.5292739848611,0.07484586154607457
high,29.880000000000003,-67.69973872742011,-68.66539373411426,-69.52895283127089,0.0745967906896364
high,29.890000000000004,-67.70361674223398,-68.66611417643345,-69.52863234743072,0.07434854868719565
high,29.900000000000002,-67.70748475838488,-68.66683480149123,-69.52831253286222,0.07410113278050522
high,29.910000000000004,-67.71134280382772,-68.66755560531185,-69.52799338708536,0.0738545402204969
high,29.92,-67.7151909064411,-68.66827658393773,-69.52767490961828,0.07360876826725084
high,29.930000000000003,-67.7190290940275,-68.66899773342945,-69.52735709997744,0.07336381418996502
high,29.94,-67.72285739431346,-68.66971904986563,-69.52703995767754,0.07311967526692499
high,29.95,-67.72667583494973,-68.67044052934287,-69.52672348223163,0.0728763487854735
high,29.960000000000004,-67.73048444351147,-68.67116216797575,-69.526407673151,0.0726338320419804
high,29.970000000000002,-67.73428324749845,-68.6718839618967,-69.52609252994525,0.0723921223418129
high,29.980000000000004,-67.73807227433522,-68.67260590725591,-69.52577805212238,0.07215121699930506
high,29.990000000000002,-67.74185155137121,-68.67332800022142,-69.52546423918865,0.0719111133377284
high,30.000000000000004,-67.74562110588103,-68.67405023697883,-69.5251510906487,0.07167180868926194
high,30.01,-67.74938096506456,-68.6747726137314,-69.52483860600555,0.07143330039496276
high,30.020000000000003,-67.75313115604716,-68.6754951267,-69.52452678476052,0.07119558580473619
high,30.03,-67.75687170587985,-68.67621777212291,-69.52421562641341,0.07095866227730656
high,30.04,-67.76060264153948,-68.67694054625585,-69.52390513046232,0.07072252718018783
high,30.050000000000004,-67.7643239899289,-68.67766344537196,-69.52359529640381,0.07048717788965418
high,30.060000000000002,-67.76803577787716,-68.67838646576162,-69.52328612373282,0.0702526117907112
high,30.070000000000004,-67.77173803213961,-68.67910960373247,-69.52297761194272,0.07001882627706645
high,30.080000000000002,-67.77543077939819,-68.67983285560933,-69.52266976052532,0.06978581875110067
high,30.090000000000003,-67.77911404626157,-68.68055621773415,-69.52236256897088,0.06955358662383898
high,30.1,-67.78278785926524,-68.68127968646594,-69.52205603676809,0.06932212731492197
high,30.110000000000003,-67.78645224487178,-68.68200325818066,-69.52175016340416,0.06909143825257726
high,30.12,-67.79010722947102,-68.68272692927124,-69.5214449483647,0.06886151687359059
high,30.130000000000003,-67.79375283938018,-68.68345069614747,-69.5211403911339,0.06863236062327752
high,30.140000000000004,-67.79738910084407,-68.68417455523598,-69.52083649119436,0.06840396695545536
high,30.150000000000002,-67.80101604003528,-68.6848985029801,-69.52053324802725,0.06817633333241421
high,30.160000000000004,-67.80463368305426,-68.68562253583988,-69.5202306611122,0.06794945722488925
high,30.17,-67.80824205592971,-68.686346650292,-69.5199287299274,0.06772333611203254
high,30.180000000000003,-67.81184118461844,-68.6870708428297,-69.51962745394962,0.06749796748138491
high,30.19,-67.81543109500583,-68.68779510996272,-69.51932683265413,0.0672733488288482
high,30.200000000000003,-67.81901181290587,-68.68851944821729,-69.51902686551476,0.06704947765865718
high,30.21,-67.82258336406129,-68.689243854136,-69.51872755200392,0.06682635148335224
high,30.220000000000002,-67.82614577414385,-68.68996832427776,-69.51842889159259,0.06660396782375119
high,30.230000000000004,-67.82969906875445,-68.69069285521779,-69.51813088375039,0.06638232420892237
high,30.240000000000002,-67.83324327342332,-68.69141744354752,-69.51783352794546,0.0661614181761566
high,30.250000000000004,-67.83677841361015,-68.6921420858745,-69.5175368236446,0.0659412472709401
high,30.26,-67.84030451470426,-68.69286677882239,-69.51724077031322,0.06572180904692726
high,30.270000000000003,-67.84382160202489,-68.69359151903092,-69.51694536741537,0.06550310106591328
high,30.28,-67.8473297008212,-68.69431630315576,-69.51665061441373,0.06528512089780732
high,30.290000000000003,-67.8508288362726,-68.69504112786849,-69.51635651076963,0.06506786612060517
high,30.300000000000004,-67.85431903348876,-68.69576598985662,-69.51606305594305,0.0648513343203626
high,30.310000000000002,-67.85780031750996,-68.69649088582341,-69.51577024939265,0.06463552309116863
high,30.320000000000004,-67.86127271330709,-68.6972158124879,-69.51547809057577,0.06442043003511842
high,30.330000000000002,-67.86473624578196,-68.6979407665848,-69.51518657894844,0.06420605276228693
high,30.340000000000003,-67.86819093976736,-68.69866574486446,-69.5148957139654,0.06399238889070226
high,30.35,-67.87163682002728,-68.6993907440928,-69.51460549508006,0.06377943604631914
high,30.360000000000003,-67.87507391125709,-68.7001157610513,-69.51431592174458,0.06356719186299271
high,30.37,-67.8785022380837,-68.70084079253685,-69.51402699340983,0.06335565398245208
high,30.38,-67.8819218250657,-68.7015658353618,-69.51373870952544,0.06314482005427417
high,30.390000000000004,-67.88533269669361,-68.70229088635381,-69.51345106953976,0.06293468773585754
high,30.400000000000002,-67.88873487738992,-68.70301594235585,-69.51316407289988,0.0627252546923966
high,30.410000000000004,-67.89212839150933,-68.70374100022613,-69.51287771905172,0.06251651859685539
high,30.42,-67.89551326333898,-68.70446605683807,-69.51259200743992,0.06230847712994173
high,30.430000000000003,-67.8988895170985,-68.70519110908016,-69.51230693750794,0.06210112798008169
