n,group,target,rank,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,model
384,active,active_Gamma_h_to_d,,SMI_plus_transfer_gain,,,,,,0.021762317956417324,fixed_multivariable_linear
384,active,active_Gamma_h_to_d,,SMI_plus_impedance_active_state,,,,,,0.020239834689928207,fixed_multivariable_linear
384,active,active_Gamma_h_to_d,,morphology_neck_load,,,,,,0.00605776762807746,fixed_multivariable_linear
384,active,active_Gamma_h_to_s,,SMI_plus_transfer_gain,,,,,,0.0055649332342696325,fixed_multivariable_linear
384,active,active_Gamma_h_to_s,,SMI_plus_impedance_active_state,,,,,,0.00481754230803959,fixed_multivariable_linear
384,active,active_Gamma_h_to_s,,morphology_neck_load,,,,,,0.007799995692023382,fixed_multivariable_linear
384,active,active_A_h_mV,,SMI_plus_transfer_gain,,,,,,5.063351209082756,fixed_multivariable_linear
384,active,active_A_h_mV,,SMI_plus_impedance_active_state,,,,,,5.063527438407064,fixed_multivariable_linear
384,active,active_A_h_mV,,morphology_neck_load,,,,,,5.089018937847117,fixed_multivariable_linear
768,passive,Gamma_h_to_d,1,dynamic_SMI_abs_50Hz,-0.9957429957777024,-0.9999562368710613,0.9999562368710613,0.9999239940979372,0.9999507171404154,0.005507540041648529,univariate_linear
768,passive,Gamma_h_to_d,2,active_dynamic_SMI_abs_50Hz,-0.995739215257996,-0.99995311093328,0.99995311093328,0.9999207013693908,0.9999483104098953,0.005509892217977266,univariate_linear
768,passive,Gamma_h_to_d,3,R_neck_Mohm,-0.9955567347355949,-0.9998450011698424,0.9998450011698424,0.9997734474514623,0.999839270046673,0.005627889815295995,univariate_linear
768,passive,Gamma_h_to_d,4,SMI,-0.9259686829911314,-0.9384077670334999,0.9384077670334999,0.9327005486015125,0.9442650907711106,0.02251737032500952,univariate_linear
768,passive,Gamma_h_to_d,5,neck_length_um,-0.6182160851361674,-0.6471552429711964,0.6471552429711964,0.6135165131366215,0.6846244826523967,0.04675366778287136,univariate_linear
768,passive,Gamma_h_to_d,6,neck_radius_um,0.5972829428565372,0.5741279322356029,0.5741279322356029,0.5271892222592138,0.6186115157175014,0.04773445152419281,univariate_linear
