n_previous,n_current,output,metric,previous_value,current_value,relative_change,passed_10_percent
384,768,R_in_d_Mohm,p97_5,442.19385307037777,442.83562957201906,0.0014492431475343053,True
384,768,R_neck_Mohm,median,24.491468385782902,25.226945228809164,0.029154415501181967,True
384,768,R_neck_Mohm,p2_5,9.163708764383413,8.599721102759474,0.06558208747525157,True
384,768,R_neck_Mohm,p97_5,58.09313447916483,64.04244260823458,0.0928963338494648,True
384,768,SMI,median,0.07783472268332997,0.07878732729522342,0.012090835475659055,True
384,768,SMI,p2_5,0.024678333955577475,0.02685249602227454,0.08096685182984724,True
384,768,SMI,p97_5,0.20719992770851461,0.21221842422149217,0.023647788976793836,True
384,768,Ztransfer_50Hz_Mohm,median,14.000951742884443,13.99275453293079,0.0005858181771402015,True
384,768,Ztransfer_50Hz_Mohm,p2_5,11.768952090025216,11.705327992909977,0.005435481786907381,True
384,768,Ztransfer_50Hz_Mohm,p97_5,17.264062519486266,17.2036381514656,0.0035123017287781145,True
384,768,active_A_h_mV,median,14.503800085017645,14.54371164850405,0.0027442488170144152,True
384,768,active_A_h_mV,p2_5,7.891613989541732,7.880228557940943,0.0014448098195471108,True
384,768,active_A_h_mV,p97_5,25.208183759369806,25.374193189480057,0.006542451571586386,True
384,768,active_Gamma_h_to_d,median,0.8740089110439385,0.8708513408140615,0.003625842990521667,True
384,768,active_Gamma_h_to_d,p2_5,0.7457804332576465,0.7223708471654183,0.03240660414811502,True
384,768,active_Gamma_h_to_d,p97_5,0.9484600550463821,0.9512001667071692,0.0028806887936876184,True
384,768,active_Gamma_h_to_s,median,0.08298718692879642,0.08294636649858173,0.0004921304203890853,True
384,768,active_Gamma_h_to_s,p2_5,0.06387625870125394,0.06351060910685827,0.005757299442372726,True
384,768,active_Gamma_h_to_s,p97_5,0.10999568087461518,0.10766774098195778,0.021621517006170935,True
384,768,active_Zin_50Hz_Mohm,median,165.4255242928683,165.44004454646847,8.776746669760121e-05,True
384,768,active_Zin_50Hz_Mohm,p2_5,163.02671537118718,162.91289237907912,0.0006986739382368979,True
384,768,active_Zin_50Hz_Mohm,p97_5,168.0128995355141,168.192199894856,0.0010660444387670584,True
384,768,active_transfer_gain_50Hz,median,0.08430433053608433,0.08440454669599745,0.001187331297140619,True
384,768,active_transfer_gain_50Hz,p2_5,0.07135528617154355,0.07125903984119072,0.0013506543249434619,True
384,768,active_transfer_gain_50Hz,p97_5,0.10322172602364504,0.10308842732695453,0.001293051995717672,True
