output,parameter,spearman,abs_spearman,rank_screening_share,method_note
active_Gamma_h_to_s,neck_radius_um,0.334875203472599,0.334875203472599,0.11284557156439698,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,intracellular_resistivity_ohm_cm,-0.21536896364622898,0.21536896364622898,0.07257459957580634,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,hcn_density_scale,0.17437601736299513,0.17437601736299513,0.05876087910480509,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,synaptic_conductance_scale,0.15515463917525774,0.15515463917525774,0.05228369779858114,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,kdr_density_scale,-0.13893109061313078,0.13893109061313078,0.0468167190814013,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,head_diameter_um,-0.12225990233315247,0.12225990233315247,0.041198895633730706,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,calcium_density_scale,0.1141209983722192,0.1141209983722192,0.03845626417026256,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,dendritic_area_scale,0.10028486163863266,0.10028486163863266,0.03379379068236671,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,nmda_fraction,0.09234943027672274,0.09234943027672274,0.031119725005485262,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,a_type_density_scale,-0.05638903960933261,0.05638903960933261,0.019001864989395156,rank-correlation uncertainty decomposition; not a Sobol index
active_Gamma_h_to_s,na_density_scale,0.033016820401519265,0.033016820401519265,0.011125941636802458,rank-correlation uncertainty decomposition; not a Sobol index
