group,target,predictor,pearson,spearman,abs_spearman,bootstrap_abs_spearman_p05,bootstrap_abs_spearman_p95,cv_rmse,n,model
passive,A_h_mV,active_dynamic_SMI_abs_50Hz,0.14029044014678316,0.12304666304937602,0.12304666304937602,0.017047355706128867,0.2774845581304357,4.704684587573985,96,univariate_linear
passive,local_voltage_isolation,R_neck_Mohm,0.995039506151414,0.9995794899620184,0.9995794899620184,0.9986231837536723,0.9997842452149577,0.006374733847959396,96,univariate_linear
passive,local_voltage_isolation,R_in_d_Mohm,-0.04366686517290161,-0.022314161692892024,0.022314161692892024,0.005703420161745748,0.20389528890440092,0.06036878220623785,96,univariate_linear
passive,local_voltage_isolation,SMI,0.9356517816728743,0.9155453065653826,0.9155453065653826,0.871190990774843,0.9439767349750088,0.02151466398962796,96,univariate_linear
passive,local_voltage_isolation,Zin_50Hz_Mohm,-0.07074347709048712,-0.06995387954422137,0.06995387954422137,0.008221885319314426,0.21542005391279875,0.060383725231688994,96,univariate_linear
passive,local_voltage_isolation,Ztransfer_50Hz_Mohm,-0.06525938802108495,-0.08132121540965817,0.08132121540965817,0.008049333096148067,0.24888673767424466,0.06174747792856723,96,univariate_linear
passive,local_voltage_isolation,transfer_gain_50Hz,-0.06344275716614609,-0.07798426478567552,0.07798426478567552,0.008004391042708508,0.24846504868176095,0.06182800427879779,96,univariate_linear
passive,local_voltage_isolation,electrotonic_distance_50Hz,0.06647110669068963,0.07798426478567552,0.07798426478567552,0.008004391042708508,0.24846504868176095,0.061753313810019014,96,univariate_linear
passive,local_voltage_isolation,dynamic_SMI_abs_50Hz,0.9949723574956859,0.9997693977211068,0.9997693977211068,0.9990627962458559,0.9998921233393941,0.006448814867372088,96,univariate_linear
passive,local_voltage_isolation,neck_radius_um,-0.5897114997407318,-0.5594004340748779,0.5594004340748779,0.39325907980557473,0.6615471388479918,0.04878500031484145,96,univariate_linear
passive,local_voltage_isolation,neck_length_um,0.6631078043656902,0.70427292457949,0.70427292457949,0.5900789203005188,0.8045857400610056,0.04542658788573309,96,univariate_linear
passive,local_voltage_isolation,head_diameter_um,-0.05137302244847683,-0.05202116115029843,0.05202116115029843,0.00920999929632881,0.22170345855345708,0.06108853867509031,96,univariate_linear
passive,local_voltage_isolation,dendritic_area_scale,0.06069514961426758,0.0435973955507325,0.0435973955507325,0.008869353062832439,0.22453674396782677,0.06107448518565387,96,univariate_linear
passive,local_voltage_isolation,membrane_capacitance_scale,0.06638757606950717,0.08615029842647856,0.08615029842647856,0.006973622160433645,0.2569325070351491,0.06177041129250176,96,univariate_linear
passive,local_voltage_isolation,membrane_leak_scale,0.039101791425372914,0.022314161692892024,0.022314161692892024,0.005703420161745748,0.20389528890440092,0.060496373274432844,96,univariate_linear
