degeneracy_type,sample_a,sample_b,SMI_a,SMI_b,relative_SMI_difference,Gamma_h_to_d_a,Gamma_h_to_d_b,Gamma_h_to_d_abs_difference,A_h_mV_a,A_h_mV_b,A_h_relative_difference,max_morphology_relative_difference,radius_a_um,radius_b_um,length_a_um,length_b_um,rho_a_ohm_cm,rho_b_ohm_cm
same_transfer_different_SMI,3,36,0.0596050616468424,0.03708735586068551,0.377781771614857,0.9067761368665825,0.9289413104039446,0.022165173537362026,18.33349812582572,19.860201604545907,0.07687250658979873,0.15721323771943477,0.12502724147625652,0.12241478184334682,0.6208645851486607,0.5292602476636215,135.79129669310345,114.44310728586028
same_transfer_different_SMI,3,58,0.0596050616468424,0.03321644755991973,0.4427243820881211,0.9067761368665825,0.9304220053788784,0.023645868512295887,18.33349812582572,13.14961566455939,0.28275468356821587,0.2130926819335533,0.12502724147625652,0.1257476341734955,0.6208645851486607,0.48856288558176963,135.79129669310345,126.2992504687777
similar_outputs_different_parameters,3,72,0.0596050616468424,0.07445041673295556,0.1993992208178178,0.9067761368665825,0.890326193148226,0.016449943718356508,18.33349812582572,17.02752092258948,0.07123447987247765,0.5137006089373948,0.12502724147625652,0.1404476208327756,0.6208645851486607,1.2767126518337175,135.79129669310345,99.87436447005355
same_SMI_different_morphology,4,9,0.06493530564657386,0.06417737288451389,0.011672121267669183,0.8583976909089291,0.9110328644543217,0.0526351735453926,21.984834299776775,23.195244888487018,0.05218356583555758,0.3909618194289499,0.13353866697053637,0.13127036789672006,0.9606816913502009,0.5850918294078454,159.44255660250641,152.00097694805976
similar_outputs_different_parameters,4,9,0.06493530564657386,0.06417737288451389,0.011672121267669183,0.8583976909089291,0.9110328644543217,0.0526351735453926,21.984834299776775,23.195244888487018,0.05218356583555758,0.3909618194289499,0.13353866697053637,0.13127036789672006,0.9606816913502009,0.5850918294078454,159.44255660250641,152.00097694805976
same_transfer_different_SMI,4,17,0.06493530564657386,0.09995138328191487,0.35033109583463656,0.8583976909089291,0.872289108165067,0.01389141725613785,21.984834299776775,14.935314405061433,0.3206537651633299,0.403674471038599,0.13353866697053637,0.11434217999954617,0.9606816913502009,1.0629753275085319,159.44255660250641,95.07966690494776
similar_outputs_different_parameters,4,43,0.06493530564657386,0.05145352622543946,0.2076186334520739,0.8583976909089291,0.8836249202640268,0.02522722935509769,21.984834299776775,20.949316792294294,0.04710144699580454,0.48124777730831925,0.13353866697053637,0.11052450555524182,0.9606816913502009,1.016464047127326,159.44255660250641,82.71118062919432
same_transfer_different_SMI,4,44,0.06493530564657386,0.11124804275793067,0.4163015902412832,0.8583976909089291,0.8411901739056289,0.017207517003300254,21.984834299776775,11.81610847272635,0.4625336579022419,0.14450422473527122,0.13353866697053637,0.11492486044513651,0.9606816913502009,0.9516324151171367,159.44255660250641,136.40243357085163
same_transfer_different_SMI,4,55,0.06493530564657386,0.1266615282881007,0.48733205319555384,0.8583976909089291,0.835822259892143,0.022575431016786163,21.984834299776775,8.700777172051707,0.604237309528412,0.4352663575708521,0.13353866697053637,0.11003713752267914,0.9606816913502009,1.3961690168799286,159.44255660250641,90.04257574834904
same_transfer_different_SMI,4,56,0.06493530564657386,0.10906464605634447,0.4046163629135395,0.8583976909089291,0.8601914821742693,0.0017937912653401833,21.984834299776775,21.328985358925927,0.029831880100070065,0.49163596873610615,0.13353866697053637,0.10223292072267733,0.9606816913502009,1.0982231582107223,159.44255660250641,81.05486082947174
similar_outputs_different_parameters,4,56,0.06493530564657386,0.10906464605634447,0.4046163629135395,0.8583976909089291,0.8601914821742693,0.0017937912653401833,21.984834299776775,21.328985358925927,0.029831880100070065,0.49163596873610615,0.13353866697053637,0.10223292072267733,0.9606816913502009,1.0982231582107223,159.44255660250641,81.05486082947174
same_SMI_different_morphology,4,59,0.06493530564657386,0.06438843667457861,0.008421750949656278,0.8583976909089291,0.8890281954917006,0.0306305045827715,21.984834299776775,12.625714157877908,0.4257080137280769,0.3905018685936145,0.13353866697053637,0.12433013846177166,0.9606816913502009,1.0455404097546848,159.44255660250641,97.17994031588451
same_transfer_different_SMI,4,68,0.06493530564657386,0.1032223508564292,0.3709181673561025,0.8583976909089291,0.8703340334664926,0.011936342557563484,21.984834299776775,11.147941673271495,0.49292582690128867,0.14399176115549062,0.13353866697053637,0.13523278137731362,0.9606816913502009,0.82235144270285,159.44255660250641,174.57433905473934
same_transfer_different_SMI,4,71,0.06493530564657386,0.1022107036031981,0.3646917264295001,0.8583976909089291,0.8695931981799896,0.011195507271060445,21.984834299776775,15.116647862617064,0.3124056494357771,0.4552018642105225,0.13353866697053637,0.11237445077825384,0.9606816913502009,1.1421449989799597,159.44255660250641,86.86400760255374
